id;issue_date;due_date;no_of_copies_available;status;received_date;student_id
1;2020-05-25;2020-05-26;76254;metrics Fish;2020-05-26;56616
2;2020-05-25;2020-05-26;87364;Forward Gloves real-time;2020-05-26;98206
3;2020-05-25;2020-05-25;69561;radical solid state synthesizing;2020-05-25;33700
4;2020-05-26;2020-05-26;45797;Pass;2020-05-26;74365
5;2020-05-26;2020-05-25;99370;calculating Mall;2020-05-26;30968
6;2020-05-25;2020-05-25;41571;synthesizing Industrial;2020-05-25;12667
7;2020-05-26;2020-05-25;95971;parsing;2020-05-26;26287
8;2020-05-25;2020-05-25;1702;Soft Alaska;2020-05-26;14003
9;2020-05-25;2020-05-25;88069;Points Georgia;2020-05-26;8662
10;2020-05-25;2020-05-26;75642;lime;2020-05-25;88762
