id;book_title;author;no_of_copies;book_no;additional_info;unique_no;batch_id;subject
1;Executive SMS Shoes;Mongolia Washington;44063;36700;mesh;1369;78780;43769
2;interface microchip Skyway;Tools customized;77996;62485;indigo;98710;85346;10506
3;withdrawal panel Ergonomic;pixel;39235;78903;cross-platform Strategist;75842;4425;27262
4;Licensed Cotton Pants primary Cambridgeshire;Cambridgeshire empowering sensor;86051;2146;JBOD Outdoors;99925;75448;68918
5;Technician Generic firewall;auxiliary;34165;71775;plum North Dakota;2024;7936;65011
6;SCSI;Orchard;34079;12391;local area network Glen;58773;25276;27985
7;solid state Tasty Automotive;compressing Avon withdrawal;96595;99967;streamline Plastic compressing;74370;755;15000
8;online;XML;49498;23497;synthesizing;75928;37567;12762
9;IB;program;57599;54093;PCI withdrawal open-source;5950;28538;49157
10;Handmade Fresh Hat Architect bricks-and-clicks;Fantastic;61654;3631;back up Customer;44739;63808;37688
